UKREIS,UJAHR,UMONAT,UTAG,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP,LICHT,USTRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,@lon,@lat
13,23,3,4,14,7,3,5,2,0,0,1,1,0,0,0,0,12.424701,51.304753
28,23,3,4,11,7,2,0,7,0,0,1,0,0,0,0,0,13.931898,50.962547
12,23,3,24,19,6,3,0,7,2,0,1,0,0,0,0,0,13.731427,51.034798
13,23,3,3,23,6,3,5,3,2,0,1,1,0,0,0,0,12.380966,51.343903
30,23,3,3,10,6,3,5,2,0,0,1,1,0,0,0,0,12.214027,51.394612
28,23,5,11,21,5,3,5,3,2,0,1,1,0,0,0,0,13.936141,50.957862
13,23,3,3,13,6,3,5,3,0,0,1,1,0,0,0,0,12.380794,51.343974
25,23,3,3,10,6,3,5,3,0,1,1,1,0,0,0,0,13.825582,51.176268
27,23,3,3,8,6,3,5,3,0,1,1,0,0,0,0,1,13.633031,51.124514
12,23,4,12,19,4,2,5,2,1,0,1,1,0,0,0,0,13.741838,51.0289
12,23,4,28,10,6,3,0,1,0,0,1,0,0,0,0,0,13.818336,51.064511
25,23,3,2,18,5,3,2,6,1,0,1,1,0,0,0,0,14.134175,51.467279
30,23,3,1,12,4,3,3,2,0,0,1,0,0,0,0,1,12.490336,51.378388
30,23,2,28,12,3,3,5,3,0,0,1,1,0,0,0,0,12.587686,51.593418
30,23,2,28,16,3,3,5,2,0,0,1,1,0,0,0,0,12.240144,51.390569
25,23,2,28,15,3,3,1,1,0,0,1,1,0,0,0,0,14.431971,51.169489
13,23,2,27,12,2,2,0,1,0,0,1,0,0,0,0,0,12.367865,51.343866
13,23,5,11,11,5,3,5,3,0,0,1,1,0,0,0,0,12.298555,51.338522
28,23,2,27,14,2,3,5,3,0,0,1,0,0,0,0,1,13.939038,50.980569
28,23,2,27,20,2,3,3,3,2,0,1,1,0,0,0,0,13.860196,50.975312
13,23,2,25,18,7,3,6,7,2,1,1,0,1,0,0,0,12.350927,51.340596
12,23,2,24,10,6,3,4,2,0,0,1,0,0,0,0,1,13.733895,51.065922
13,23,2,23,0,5,3,0,1,2,0,1,0,0,0,0,0,12.285602,51.330845
13,23,2,22,9,4,3,5,3,0,0,1,0,0,0,1,0,12.39269,51.334037
13,23,2,22,16,4,3,5,3,0,0,1,1,0,0,0,0,12.377693,51.375861
12,23,4,19,8,4,3,3,3,0,0,1,1,0,0,0,0,13.700017,51.059417
25,23,2,22,7,4,2,2,6,0,1,1,0,0,0,0,1,13.974004,51.297318
11,23,2,22,18,4,3,5,3,2,0,1,1,0,0,0,0,12.920375,50.828731
12,23,2,21,6,3,3,5,3,2,1,1,1,0,0,0,0,13.73859,51.08407
12,23,2,21,20,3,3,0,1,2,0,1,0,0,0,0,0,13.858902,51.060846
13,23,2,20,13,2,3,5,2,0,0,1,1,0,0,0,0,12.38838,51.346263
12,23,2,20,10,2,3,0,7,0,0,1,0,0,0,0,0,13.690344,51.061876
12,23,2,20,13,2,3,5,2,0,0,1,1,0,0,0,0,13.730817,51.033623
28,23,2,19,5,1,3,0,1,2,1,1,0,0,0,0,0,13.919785,50.957316
28,23,2,19,18,1,3,1,5,2,0,1,1,0,0,0,0,13.65364,51.002747
13,23,2,18,0,7,3,0,1,2,1,1,0,0,0,0,0,12.449175,51.287874
13,23,2,18,12,7,2,5,3,0,0,1,1,0,0,0,0,12.263975,51.316514
30,23,2,18,5,7,3,3,6,2,0,1,0,0,0,0,0,12.715995,51.466326
12,23,2,17,17,6,3,5,3,0,0,1,1,0,0,0,0,13.719415,51.040249
27,23,2,16,16,5,3,5,3,0,0,1,1,0,0,0,0,13.490658,51.160118
24,23,2,15,15,4,3,5,3,0,0,1,1,0,0,0,0,12.436875,50.719912
26,23,2,15,15,4,3,0,3,0,0,1,1,0,0,0,0,14.985035,51.156822
22,23,2,15,6,4,3,4,2,2,0,1,1,0,0,0,0,13.092491,51.124909
13,23,2,14,15,3,3,5,2,0,0,1,1,0,0,0,0,12.454367,51.350278
30,23,2,13,16,2,3,5,3,0,0,1,1,0,0,0,0,12.58766,51.593412
26,23,2,13,5,2,3,0,1,1,1,1,0,0,0,0,0,14.80049,50.906678
12,23,2,13,14,2,3,5,3,0,0,1,1,0,0,0,0,13.717999,51.038786
13,23,2,12,18,1,3,5,3,2,1,1,1,0,0,0,0,12.389896,51.346561
28,23,2,12,18,1,3,0,1,2,0,1,0,0,0,0,0,13.932859,50.956947
12,23,2,11,16,7,3,0,1,1,1,1,0,0,0,0,0,13.723176,51.089887
28,23,4,22,16,7,3,2,6,0,0,1,1,0,0,0,0,13.613771,51.022048
21,23,5,8,7,2,3,4,2,0,0,1,1,0,0,0,0,13.05375,50.541261
29,23,2,9,13,5,3,4,2,0,0,1,1,0,0,0,0,12.226926,51.307165
28,23,3,8,9,4,2,5,3,0,1,1,1,0,0,0,0,13.92758,50.955751
25,23,2,9,15,5,2,5,3,0,0,1,1,0,0,0,0,14.219609,51.224992
12,23,3,22,13,4,3,5,2,0,0,1,1,0,0,0,0,13.727508,51.044798
25,23,2,8,15,4,2,5,3,0,0,1,1,0,0,0,0,14.415028,51.189686
30,23,2,7,6,3,3,5,3,2,2,1,1,0,0,0,0,12.657711,51.466613
13,23,2,7,9,3,3,5,3,0,0,1,1,0,0,0,0,12.362762,51.314253
12,23,2,7,16,3,3,0,7,0,1,1,0,0,0,0,0,13.731193,51.034299
12,23,2,7,16,3,3,5,3,0,0,1,1,0,0,0,0,13.759754,51.081159
13,23,2,6,9,2,3,3,1,0,1,1,1,0,0,0,0,12.429639,51.286178
13,23,2,6,15,2,3,5,3,0,1,1,1,0,0,0,0,12.344872,51.33919
24,23,3,8,7,4,3,5,3,0,1,1,1,0,0,0,0,12.482719,50.730652
